,iht2,kziht2,iht3,kziht3,iht4,kziht4,iht5,kziht5
0,14.690338886345282,0.5730436291640845,23.60864838596927,0.5891975936289636,32.49644220050173,0.6121284542851226,40.4934486298872,0.6341255353751164
1,5.20047597230365,0.34053801509169923,11.16006114644485,0.3674779420228932,18.031374879687966,0.39629434702901206,27.548567273672987,0.42398805701334225
2,2.2263769468560137,0.20857040666405388,5.953962638340001,0.23700544224517536,11.194681119353575,0.2689909710898857,20.836633174111356,0.298209247479779
3,1.0517396471206741,0.13139718526580105,3.53114664167538,0.15736015943941026,7.48265185244062,0.18517101312426007,16.76274395205029,0.21492422185293464
4,0.5263437772865174,0.08445662155498505,2.237252566374736,0.10545061993604458,5.322441251508383,0.12861521921366445,14.454338767227592,0.15856152262934256
5,0.27358074581375225,0.05534375103658379,1.4822097195606196,0.07140959383700146,3.975569845705373,0.09120472868385718,12.578863087806196,0.11593084904645158
6,0.1459907020485553,0.03667605813224633,1.0100983222890378,0.0490176443435944,3.065344979652592,0.06564612651935005,11.29811671660634,0.0870090628189347
7,0.0794034246814887,0.024517292427930912,0.7017625122082001,0.034167876728459286,2.4184091380040273,0.047973262209332596,10.353299962685094,0.06662357683539033
8,0.04381807675927206,0.016513192918859356,0.49438450125655975,0.023903936451394506,1.9379493067046116,0.035448634117996425,9.473285561778898,0.05130544469891499
9,0.02445750545422865,0.01116737332916205,0.35205548330117536,0.016903510474960238,1.5732764741574141,0.026618089606044802,8.93582020380503,0.040186280389857484
10,0.013778600971348233,0.0076014777959358135,0.2528606492870232,0.012068614268538865,1.288708008091333,0.020312464807869475,8.266746328196973,0.032209012124502764
11,0.007823075634410934,0.005205518533682615,0.18294495235878294,0.008604506541725612,1.064327598142657,0.015675105490028797,7.9041952180642525,0.026260419063271284
12,0.004470980843469849,0.003569045175757735,0.13318421354624363,0.006164112879314054,0.8841250454521523,0.012301932219857694,7.413605268849924,0.02448235928940512
13,0.002570501265524853,0.0024463973137093284,0.09750198408986334,0.004433068834483507,0.7385443293458157,0.009851486716105147,7.172081148082123,0.019803547431751715
14,0.0014853343241359796,0.0016843875291339952,0.0717328000058316,0.0031880742592720686,0.6194826073761106,0.008018510375716792,6.804120989588523,0.01661355659515715
15,0.000862601318604612,0.0011640793500827804,0.05301331555440929,0.0023111634130545296,0.5217128898131237,0.006638726733945244,6.6117874247297745,0.01431754117461572
16,0.0005029912717962308,0.0008063501604143741,0.03934121759863062,0.0016792013833537873,0.44075305140005866,0.005627507934816467,6.298792563454327,0.015165108761086081
17,0.0002946164199121857,0.0005568932225946915,0.0293063972618502,0.0012220396087539239,0.37350775114564755,0.004863972453032662,6.204750815657627,0.01738191718762343
18,0.0001731381085470907,0.0003877447023033545,0.021908564212207188,0.0008968095041719361,0.31732183668899216,0.00431029682351592,5.966691169561526,0.013987631751682585
19,0.00010218314179150648,0.0002696752961568648,0.016432019562922486,0.0006558236651139303,0.27025435821817934,0.0038863530644580075,5.924058429578419,0.01189960670528512
20,6.0485526099174493e-05,0.00018814553450703704,0.012362232977983955,0.0004787150330668217,0.230658509813341,0.0035496807532790597,5.734551355552827,0.010592601297846657
