,iht50,kziht50,iht100,kziht100,iht150,kziht150,iht200,kziht200,iht250,kziht250
80,8.219136342611246e+22,4.698458205244392e-11,2.1694828633420764e+35,0.00871215333906596,9.757332676769126e+41,0.4635084120480684,6.716533017373959e+45,0.7922750544886309,4.748146172547656e+49,0.8122885899056451
81,1.7010863530729577e+23,3.2234371180481334e-11,6.15282965131291e+35,0.008191654537539995,3.360523715860093e+42,0.46122266869261014,2.62286261444146e+46,0.7918567243571106,2.048906157197489e+50,0.8119036238688168
82,3.521808450519166e+23,2.225179985546328e-11,1.7451793445318102e+36,0.007725685412231132,1.1574977603556392e+43,0.45891597543402174,1.02473733486373e+47,0.7914945952247004,8.84254171490036e+50,0.8123474093476816
83,7.293559522886233e+23,1.5782564688057677e-11,4.9505281610163943e+36,0.007189497290545384,3.9872244999904643e+43,0.45869996158617876,4.005457143692791e+47,0.7912564708458744,3.8166980966179087e+51,0.8128299088245822
84,1.5109259452834774e+24,1.135978392085799e-11,1.4044591533977102e+37,0.0059465944914106564,1.3735945316990965e+44,0.45918822411984267,1.5663541936455852e+48,0.7928609601738817,1.647602561510203e+52,0.8119408383689308
85,3.130922125183999e+24,8.151682586085345e-12,3.984855886850793e+37,0.004910956161434357,4.732425181640084e+44,0.4582039171794111,6.128046043261616e+48,0.790869933798519,7.113271060107607e+52,0.8119083394561125
86,6.489669092210772e+24,5.945450632445246e-12,1.130737752243425e+38,0.0037544400813086264,1.6305957671376744e+45,0.45676608648079065,2.3985236497173646e+49,0.7907963043444227,3.0714033433619263e+53,0.8125142691641223
87,1.345519395190757e+25,4.272658749652858e-12,3.2089044156140173e+38,0.003033272787680784,5.61883439327922e+45,0.4562836253421846,9.391861734665091e+49,0.7905651232401553,1.3263355597545059e+54,0.812540406190602
88,2.790426395389225e+25,3.1100219861853475e-12,9.107457386097347e+38,0.002476595771452848,1.9363485892019535e+46,0.45423607319586096,3.6790935018597274e+50,0.7904757001895717,5.72819483810433e+54,0.8138871837196102
89,5.788427589482292e+25,2.2428080920610488e-12,2.5851328581815158e+39,0.0018201541716209,6.673570797149916e+46,0.4551317741864363,1.4418070887217403e+51,0.7907594347567485,2.4741648528387057e+55,0.8138532635768498
90,1.2010371185295955e+26,1.612002864875141e-12,7.338610304685119e+39,0.0014733946364754679,2.3002256944863665e+47,0.4539597940169333,5.6525763171902355e+51,0.7895421926630934,1.0687710497719096e+56,0.8136417073905282
91,2.492611237333076e+26,1.129597263895712e-12,2.0834828024967483e+40,0.0011649728574074242,7.929030991749377e+47,0.45556894748724075,2.2169424635531936e+52,0.7918928088828114,4.617262262637927e+56,0.8138648721603168
92,5.1742998750054524e+26,8.125090433402243e-13,5.915766928736102e+40,0.0009770181697135855,2.7334259197308215e+48,0.4540015048582564,8.698150117282012e+52,0.7904790406480304,1.9949271825052092e+57,0.8141742279747408
