,iht5,kziht5,iht10,kziht10,iht20,kziht20,iht50,kziht50,iht100,kziht100,iht150,kziht150,iht200,kziht200
25,1.8880475785798146e-08,6.178456636150729e-08,1.093203219609918e-05,1.6859335543996048e-07,12.626525004147467,5.301326716193875e-07,2391682.0686897608,9.209810236625571e-06,4182543385.268476,0.00018030164361423003,297518118603.548,0.0015861751775478237,4724700292077.524,0.009038731977353814
26,1.0458404863814958e-08,3.377354430294898e-08,7.713065637332264e-06,9.512406851480566e-08,17.30598815361461,3.129039733496641e-07,4628546.425981566,5.989014706276585e-06,10775418986.679136,0.00012791436421543529,907351074195.7579,0.0012031589654834464,16047024248235.61,0.007332376000559206
27,5.816162357524295e-09,1.839583181855882e-08,5.469950660233173e-06,5.359840888192438e-08,23.714202166848466,1.8266727307637904e-07,8966699.092695165,3.866860032982022e-06,27785315470.52583,9.066082967899848e-05,2769183367902.7363,0.0009082735175136328,54564768004308.77,0.005910533195574814
28,3.246642355715439e-09,9.89831343084332e-09,3.8972032899368575e-06,3.023364068060409e-08,32.58529084479894,1.0762280658059762e-07,17387336.578526534,2.5246932233072153e-06,71707306658.4732,6.430974599807174e-05,8457001085898.737,0.0006813329912834863,185724580727674.0,0.004733815028182488
29,1.8187502790120243e-09,5.34491624493668e-09,2.7882729665970676e-06,1.7125651253211674e-08,44.78001404241851,6.410738715995857e-08,33748732.24963789,1.654948096481953e-06,185206121533.63718,4.598625672251161e-05,25844544339258.066,0.0005118116067388727,632810939106940.4,0.003808902410283293
30,1.0222842455822722e-09,2.9192904028240756e-09,2.002371290439695e-06,9.696778546332113e-09,61.65600673754239,3.8128664893307054e-08,65567081.76114173,1.0822250587942395e-06,478700192706.8448,3.301257413799701e-05,79033622443309.48,0.00038373645744215943,2158243197186271.0,0.0030446018784622826
31,5.764409142024082e-10,1.5929817985413164e-09,1.4428134977324583e-06,5.466664295286156e-09,84.92900637566467,2.2586842774421218e-08,127505318.4834056,7.021226553014256e-07,1238183567714.2185,2.369448604560666e-05,241829095750849.9,0.0002892816436718678,7367246846619571.0,0.0024494918962298675
32,3.260258958364303e-10,8.76121225230491e-10,1.0427385954484753e-06,3.127781726223732e-09,117.16508653615325,1.3297655268834932e-08,248180336.2390564,4.587556658832978e-07,3204679630671.2163,1.7079942180235096e-05,740377274434828.0,0.00021896101116507556,2.516954882808077e+16,0.0019682939658662952
33,1.8492601533067107e-10,4.795395796309195e-10,7.55609720431518e-07,1.7765043926145876e-09,161.72959515935855,7.845695601353097e-09,483501333.7789058,3.011233504508723e-07,8299905605678.442,1.2330050766121862e-05,2268023127245892.5,0.0001660071290889051,8.60557141042247e+16,0.0015764799468176705
34,1.0517959055759826e-10,2.6518451889035146e-10,5.488413731696017e-07,1.0095181330358116e-09,223.49582123208566,4.642995045976027e-09,942792246.3042127,1.980638643414781e-07,21511666671996.543,8.871062045569783e-06,6951513295727052.0,0.00012628844474629134,2.9444453615216723e+17,0.001263164725088897
35,5.997850479830827e-11,1.4728915836395071e-10,3.994903566293874e-07,5.684034147280072e-10,309.05009123326397,2.773579070031406e-09,1840006088.9399762,1.2917721070035454e-07,55790077966854.99,6.378730017068914e-06,2.1317753087271264e+16,9.625766577007054e-05,1.0081399547593592e+18,0.001006933352427228
36,3.4287631235205674e-11,8.043386222702126e-11,2.9132023006249555e-07,3.230827957082548e-10,427.7568544918065,1.6644603899706148e-09,3594217099.4992704,8.490792642974382e-08,144795677252803.66,4.6093971549488284e-06,6.540468798560356e+16,7.377212266521486e-05,3.4541611336261514e+18,0.0008050091344145718
37,1.964751491844295e-11,4.393436346918458e-11,2.1278724762514304e-07,1.8314049403418108e-10,592.4707810713454,9.914478533274213e-10,7026966814.060703,5.571844199295754e-08,376026527933169.06,3.334971506533211e-06,2.007529280470382e+17,5.6223479916254123e-05,1.1842599976379679e+19,0.0006400705328278542
38,1.128391730679943e-11,2.419894441489668e-11,1.5564924738831176e-07,1.0383058762029653e-10,821.2913930119029,5.933719331475639e-10,13750127063.015467,3.679179279185804e-08,977098161149457.1,2.4188203261087597e-06,6.164420908209258e+17,4.299108177902757e-05,4.062795064840578e+19,0.0005115012330859639
39,6.494575427049857e-12,1.3239093824684478e-11,1.1399874879726036e-07,5.858384209023244e-11,1139.2816655739318,3.5409082208545126e-10,26928817874.41294,2.4139191289187315e-08,2540377068755737.0,1.747571131806885e-06,1.8936293487515978e+18,3.288611887803345e-05,1.3946721217509925e+20,0.00040882438241153946
40,3.745753008868157e-12,7.2579401150655885e-12,8.358693135723038e-08,3.361382986840167e-11,1581.6032413355838,2.1107155644957553e-10,52783244705.766556,1.5899623704009597e-08,6608081899595959.0,1.2618075978181954e-06,5.819274157570257e+18,2.502240165488497e-05,4.7907910071662464e+20,0.00032460844324915574
41,2.1646508549950838e-12,3.966346598900383e-12,6.134838859528933e-08,1.9248370313718652e-11,2197.1640435047607,1.2536169313595247e-10,103547456094.65186,1.0438082829199483e-08,1.7198081289167774e+16,9.126192523111882e-07,1.7889452280927658e+19,1.911239685013426e-05,1.646588125140603e+21,0.00025785914385045996
42,1.253302629751539e-12,2.195561612544266e-12,4.506532743174569e-08,1.085192690530913e-11,3054.4943150174745,7.518268975405235e-11,203302896758.08356,6.850584594955985e-09,4.4781204701424584e+16,6.612320834006993e-07,5.501243291953151e+19,1.4613221575091778e-05,5.662306589148939e+21,0.00020617978818160307
43,7.269714232503846e-13,1.2099361075623925e-12,3.3129185130921854e-08,6.192728384478709e-12,4249.18101112053,4.4823535676092e-11,399488791580.53577,4.491025250988712e-09,1.1665961913979672e+17,4.779371447772265e-07,1.692224729130386e+20,1.1221919685432726e-05,1.948211253627226e+22,0.00016524437525932502
44,4.224076553787503e-13,6.712595432383641e-13,2.4370675540850322e-08,3.5552320154735074e-12,5915.1220508438955,2.6746896257310775e-11,785630863031.3137,2.961636419574308e-09,3.040560496519502e+17,3.4588769518482734e-07,5.2069591181512645e+20,8.630947936450208e-06,6.706827598002958e+22,0.00013237219557854317
45,2.458503531933858e-13,3.720369840021134e-13,1.7938147077214205e-08,2.013166953173651e-12,8239.479469420548,1.609324367375384e-11,1546255563196.6135,1.9465024140068187e-09,7.928504821640625e+17,2.5215579099297347e-07,1.6026173298214277e+21,6.584380605148578e-06,2.3100761024037377e+23,0.00010629242203693622
