,kziht8,kziht_rr8,kziht9,kziht_rr9,kziht10,kziht_rr10
260,0.0001792286154358674,6.504403527613218e-06,0.10760099319642938,0.07625261649045753,0.4588911573690616,0.4588902119337339
261,0.00017489461644295927,6.283700923614264e-06,0.10735824850614209,0.0760492463336033,0.4588911281586318,0.458890211781394
262,0.0001707929588383958,6.067482467069804e-06,0.10711613944100758,0.07584480551444844,0.4588910990401792,0.458890211637596
263,0.0001666768681157576,5.86199093787282e-06,0.10688477072751656,0.07564434555574516,0.458891071374613,0.4588902115012976
264,0.00016271844652870692,5.662164749697221e-06,0.10664752340811115,0.07544420203423588,0.4588910447758076,0.45889021137265373
265,0.00015883245473212974,5.470728011190006e-06,0.10641077477997107,0.07524404922446022,0.45889101850462444,0.45889021124826873
266,0.0001550472633877792,5.283526688189225e-06,0.10617622623809889,0.07504425355136513,0.45889099117720117,0.45889021112857986
267,0.0001513737377239851,5.104840404054486e-06,0.10594878009978922,0.07484646945521407,0.45889096547943015,0.4588902110161047
268,0.00014790429331788547,4.9292568248952855e-06,0.10570701303417704,0.07464988057043398,0.45889094187883267,0.4588902109120011
269,0.0001444672297037231,4.762876040653215e-06,0.10547044513638397,0.07445148137019299,0.45889091869613347,0.4588902108108184
270,0.00014109354940172495,4.601851612055148e-06,0.10523972116607601,0.07425696716831306,0.45889089608747363,0.4588902107150773
271,0.0001376714366831485,4.445810713282977e-06,0.10501597178219049,0.07406002627928165,0.4588908747355533,0.458890210624325
272,0.00013440218173198408,4.294226960216508e-06,0.10478899351248323,0.07386386042110447,0.45889085380678135,0.4588902105391968
273,0.0001313439642388418,4.149870752938334e-06,0.10456914437624579,0.07367050316540825,0.4588908338158513,0.45889021045780776
274,0.0001283676393742925,4.0108960206382634e-06,0.1043419490710605,0.07347878782706126,0.4588908143263544,0.4588902103806219
275,0.0001253409984419867,3.875296324341489e-06,0.10410754988406681,0.0732852904188109,0.458890795501833,0.45889021030612
276,0.0001223584714598685,3.7448107225538357e-06,0.10387454229277553,0.07309497916567122,0.4588907768637209,0.45889021023703147
277,0.00011948560518462819,3.6195600293637386e-06,0.1036521467151911,0.0729066979883278,0.4588907583311281,0.4588902101707292
278,0.00011669004980157623,3.4970743089097713e-06,0.10342493958158953,0.07271673227952304,0.4588907414299306,0.45889021010915065
279,0.00011396140580031405,3.3795180782444018e-06,0.10319356217161615,0.07253011880253749,0.45889072441744083,0.458890210048643
280,0.000111304100254775,3.2656646690974397e-06,0.10297446211527599,0.07234237731166951,0.45889070797087933,0.4588902099927095
281,0.00010872703424167603,3.1544633366870352e-06,0.10274346115861281,0.07215639561814581,0.45889069317959075,0.4588902099389157
282,0.00010617526341542498,3.04767988088919e-06,0.10252179186688952,0.07197105044521775,0.45889067808492073,0.4588902098881184
283,0.00010373572938020877,2.944880378285857e-06,0.10229994928502018,0.07178638245644096,0.4588906636198179,0.4588902098393347
284,0.0001013690703234016,2.8448397541375504e-06,0.10209085898469525,0.07160101412829922,0.4588906492120596,0.45889020979338924
285,9.897002828456453e-05,2.7480138788593576e-06,0.10187445312714169,0.07141849910149133,0.4588906352745754,0.45889020974981953
286,9.665692172424602e-05,2.6548830124574554e-06,0.10166709368215412,0.07123356567564683,0.4588906231088055,0.45889020970821426
287,9.447063847730082e-05,2.5656306136355246e-06,0.10145210200225903,0.0710533933261073,0.4588906107286876,0.45889020966895533
288,9.231734377578753e-05,2.478302750390604e-06,0.10124380850243904,0.07087392712246218,0.458890597708542,0.45889020963252447
289,9.023139307489582e-05,2.394553091722345e-06,0.10103097092101557,0.07069204975838872,0.45889058553737777,0.4588902095965063
290,8.813019930901139e-05,2.3136878505228156e-06,0.10081652386829432,0.0705145992528108,0.4588905734175791,0.4588902095621165
291,8.60408025173201e-05,2.23609087874587e-06,0.1005990585352213,0.07033639287273172,0.45889056189533867,0.45889020952997467
292,8.40575633769016e-05,2.1603800616302167e-06,0.10037981762045108,0.07016009202143786,0.45889055068479434,0.458890209499448
293,8.207253701259198e-05,2.0882359580358494e-06,0.10016846811158833,0.06998276212739563,0.458890540575258,0.45889020946971365
294,8.020540563100616e-05,2.0172175560449517e-06,0.09996292320159333,0.06980751976699313,0.458890530832526,0.45889020944261005
