,kziht4,kziht_rr4,kziht5,kziht_rr5,kziht6,kziht_rr6,kziht7,kziht_rr7
104,8.496132338974686e-12,1.988752847600046e-15,2.393720082824123e-09,1.692792269861463e-13,7.573428666397124e-07,1.2976929002893122e-09,0.00012636859694043523,3.181576657056981e-06
105,6.813165986620894e-12,1.942389634151706e-15,2.02792127480485e-09,1.314847866104237e-13,6.76990684858157e-07,1.0975496925100821e-09,0.00011842003373189756,2.889369235101941e-06
106,5.472255027071085e-12,1.9193134603881556e-15,1.7133015073576993e-09,1.0227411752451763e-13,6.063791061364514e-07,9.30842113185009e-10,0.00011104190850951345,2.6243873408469453e-06
107,4.398775338830989e-12,1.9365327318889e-15,1.4509097669623783e-09,7.942553303425982e-14,5.417356356388897e-07,7.87994167221931e-10,0.00010410292932605947,2.3845227886355033e-06
108,3.5281087232770087e-12,1.9638228777499556e-15,1.2298972240730436e-09,6.187994720075233e-14,4.841793012975961e-07,6.671336936464204e-10,9.7619603943352e-05,2.1664759817534938e-06
109,2.830055602223345e-12,1.9280323949323574e-15,1.045537724526722e-09,4.807226524467248e-14,4.3320826012092855e-07,5.655126693422083e-10,9.156540484712605e-05,1.9687207393576616e-06
110,2.2758460043576165e-12,1.97428856944423e-15,8.850342807625426e-10,3.747268838576899e-14,3.871726160825154e-07,4.791065501059001e-10,8.585777026577047e-05,1.790443063307823e-06
111,1.8360682975441675e-12,1.933407520481502e-15,7.489485252864602e-10,2.920397759231706e-14,3.4588214761209415e-07,4.055352180023467e-10,8.048961939976722e-05,1.6268068663418269e-06
112,1.4697212482918026e-12,1.8990653275057713e-15,6.339380290241027e-10,2.2816098696793536e-14,3.095192948178292e-07,3.4360929318244067e-10,7.546979693324407e-05,1.4781754869087964e-06
113,1.1806749709677192e-12,1.934179865056197e-15,5.386149750011567e-10,1.7883189384925034e-14,2.7738610424284125e-07,2.9122715004351814e-10,7.073689137660054e-05,1.3436968898408233e-06
114,9.484433389169409e-13,1.9144436387493097e-15,4.5747795776017943e-10,1.4036446051700589e-14,2.4771946074476266e-07,2.469410164936339e-10,6.634431627484106e-05,1.2213425494677667e-06
115,7.628737598651478e-13,1.9157529348343213e-15,3.861382439333922e-10,1.1138819206258837e-14,2.2193048992488952e-07,2.0925145357852568e-10,6.221421339340186e-05,1.109966356342843e-06
116,6.134248443819436e-13,1.8800325875825514e-15,3.2787524281373364e-10,8.878620741934828e-15,1.9882753582189692e-07,1.7722891906426945e-10,5.832862795796917e-05,1.0095806499573874e-06
