,iht1,kziht1,iht2,kziht2,iht3,kziht3,iht4,kziht4,iht5,kziht5
169,4.3088529546730517e-16,1.4942547985337763e-15,2.0740760187405854e-15,1.6757375378088189e-15,8.227941278885912e-15,1.9386304655325068e-15,4.761808204640868e+21,2.278649613297398e-15,6.933110137220527e+35,7.31053611944433e-14
170,3.794550366224782e-16,1.5569679018424394e-15,2.2250844284576356e-15,1.7210709603110202e-15,7.561997999217238e-15,1.9206848417118646e-15,6.584140195791157e+21,2.2597643697975423e-15,1.1624755670961514e+36,6.220308048266072e-14
171,3.329015154807899e-16,1.4648329472530807e-15,2.3128228784537733e-15,1.7721733916197799e-15,7.503841271010322e-15,2.0362872622378283e-15,9.104065637779332e+21,2.2940352295602398e-15,1.9493922794423614e+36,5.29839948759088e-14
172,3.9184334713267053e-16,1.5043185295248756e-15,2.1849639955458065e-15,1.7888691472486586e-15,6.95179375356749e-15,2.0657986917573675e-15,1.2588693988890408e+22,2.3510518396939873e-15,3.269424420539164e+36,4.504524586149885e-14
173,4.036889887349832e-16,1.4676053482202228e-15,2.3610442754279754e-15,1.7123092566361953e-15,6.639405619967253e-15,2.0673688860920455e-15,1.740743615344462e+22,2.3271170862563943e-15,5.483999045207952e+36,3.840839970919431e-14
174,4.561272694069102e-16,1.4548699163529802e-15,2.2337468865196205e-15,1.776837305893839e-15,6.713391706773567e-15,2.0493558749091325e-15,2.4071194406792578e+22,2.354912808916857e-15,9.199729998304539e+36,3.284164902564993e-14
175,4.1040118972372903e-16,1.453958068600803e-15,2.3314306134763885e-15,1.82462436124317e-15,6.413929824314937e-15,2.0534960194767472e-15,3.3286568598721335e+22,2.4010378269932575e-15,1.543484555576725e+37,2.7956542035917688e-14
176,4.020357613632585e-16,1.4080010460229378e-15,2.133383403985926e-15,1.8780032580566825e-15,6.306641288253878e-15,2.128851008484526e-15,4.60308335883559e+22,2.3322745983399514e-15,2.5898644001489947e+37,2.3952797644731067e-14
177,3.896655689637672e-16,1.4011184679329072e-15,2.2414124432442447e-15,1.8869434110630694e-15,6.643117777037311e-15,1.9742176332276453e-15,6.365564886197204e+22,2.265849324060021e-15,4.346077669551272e+37,2.0501856112962535e-14
178,3.1915447032560486e-16,1.4669745771706883e-15,2.221179096467425e-15,1.8425034490291813e-15,6.211921866793948e-15,1.993368744130602e-15,8.80305130969772e+22,2.324300340553716e-15,7.293936504517534e+37,1.7662216246256373e-14
