,iht5,kziht5,iht10,kziht10,iht20,kziht20,iht50,kziht50,iht100,kziht100,iht150,kziht150,iht200,kziht200,iht250,kziht250
208,0.0,3.1574795657029408e-15,1.526540924975878e-19,2.747755719609974e-15,2.961626290377048e-19,2.2359715449844745e-15,3.1892289576910524e-18,1.7697185266994866e-15,7.069555149879421e+52,1.6217327334948555e-15,9.295546571686789e+70,1.5806435473905583e-15,1.8501984553628137e+82,2.1591268324045583e-15,1.4879723637986198e+88,1.7760545261346512e-12
209,0.0,3.150494824743326e-15,1.526540924975878e-19,2.7444466966132427e-15,2.961626290377048e-19,2.2340147806656902e-15,3.24216783510216e-18,1.7676435319242856e-15,1.304027750570487e+53,1.6210170241902942e-15,2.1080925253972453e+71,1.579881053107446e-15,4.734314408307932e+82,2.084492973875968e-15,4.066149039446698e+88,1.5625458245491624e-12
210,0.0,3.150222746147522e-15,1.526540924975878e-19,2.7440173330878943e-15,2.961626290377048e-19,2.2328760176619473e-15,3.440293251313118e-18,1.7668166533801404e-15,2.405459456934291e+53,1.6166263568648864e-15,4.780883892778969e+71,1.5823026856971095e-15,1.2114277070437373e+83,2.0213669066083242e-15,1.1111775626384787e+89,1.3711148553347866e-12
211,0.0,3.144464158788065e-15,1.526540924975878e-19,2.7443159110831817e-15,2.961626290377048e-19,2.232382697145972e-15,3.6137133655561914e-18,1.766535822754721e-15,4.437367912464251e+53,1.616308858282021e-15,1.0842524222660574e+72,1.580626421676875e-15,3.099841425049888e+83,1.9680957185305176e-15,3.0366526014520913e+89,1.2061681510721935e-12
212,0.0,3.145525098381586e-15,1.526540924975878e-19,2.7446636519730698e-15,2.961626290377048e-19,2.2330953523790416e-15,3.714901165157608e-18,1.767526587526174e-15,8.185943788916374e+53,1.6160151695700283e-15,2.458986647758882e+72,1.57882030517113e-15,7.932004823405588e+83,1.927748353474569e-15,8.298851179185935e+89,1.0615440731263823e-12
213,0.0,3.147967751304786e-15,1.526540924975878e-19,2.7429566742138028e-15,2.961626290377048e-19,2.231828791208426e-15,3.2255951161733975e-18,1.7647372585560061e-15,1.5101766050543575e+54,1.6178239495187465e-15,5.5768042125827986e+72,1.5782529453883109e-15,2.029681658884999e+84,1.887946705762768e-15,2.2680457417437705e+90,9.306108278031746e-13
214,0.0,3.1476919628096505e-15,1.526540924975878e-19,2.742466811783885e-15,2.961626290377048e-19,2.227356377143339e-15,3.459512246962744e-18,1.7635892548033646e-15,2.7861347777767216e+54,1.616115276558268e-15,1.2647887063929729e+73,1.5781641998251115e-15,5.1936694013656995e+84,1.857753409767458e-15,6.198639261820242e+90,8.179545286465787e-13
215,0.0,3.145960001576787e-15,1.526540924975878e-19,2.739093274732927e-15,2.961626290377048e-19,2.2286985843153843e-15,3.53346863552307e-18,1.7611665180545598e-15,5.140337748274935e+54,1.611979789312469e-15,2.868493128659864e+73,1.57340833109424e-15,1.3289910158124176e+85,1.8312552711918018e-15,1.6941481975146244e+91,7.210077770469113e-13
216,0.0,3.1474941429044185e-15,1.526540924975878e-19,2.7404858360664453e-15,2.961626290377048e-19,2.2292796327708423e-15,3.497060562055379e-18,1.7603449621459782e-15,9.484099302578385e+54,1.610277060250726e-15,6.505681615466484e+73,1.5694081100168962e-15,3.400721852414151e+85,1.806323948466599e-15,4.63038051338006e+91,6.347335359582888e-13
217,0.0,3.1430113339930233e-15,1.526540924975878e-19,2.7410465475312674e-15,2.961626290377048e-19,2.2294019620335674e-15,3.2123729595314533e-18,1.756810251318643e-15,1.7499078907763944e+55,1.6057433926680926e-15,1.4754852062567585e+74,1.5642575088515398e-15,8.702047680518406e+85,1.785389863315798e-15,1.2655869452144012e+92,5.586493750671902e-13
218,0.0,3.1423908936425704e-15,1.526540924975878e-19,2.7380907290018402e-15,2.961626290377048e-19,2.2279456071342145e-15,3.546354032458223e-18,1.7582577637361505e-15,3.2288562275014994e+55,1.6085246941118952e-15,3.3464156720703784e+74,1.5632225989961105e-15,2.2267581051833045e+86,1.7697446801892771e-15,3.4592112929708707e+92,4.909788062563758e-13
219,0.0,3.1423422031072774e-15,1.526540924975878e-19,2.7367705460677962e-15,2.961626290377048e-19,2.223563015669048e-15,3.6632070686689724e-18,1.7584423056037803e-15,5.957943934541066e+55,1.607832843191235e-15,7.589755674231991e+74,1.564034601758116e-15,5.698044290051354e+86,1.7522307554672245e-15,9.455223014651871e+92,4.3139842661737787e-13
220,0.0,3.1369520487733267e-15,1.526540924975878e-19,2.735559536762606e-15,2.961626290377048e-19,2.2236685686700053e-15,3.486667750060804e-18,1.7597066649582933e-15,1.0994059256318314e+56,1.6097736804317572e-15,1.7213869434827682e+75,1.561825896197286e-15,1.4580746364184457e+87,1.7428479367034933e-15,2.5844958285237234e+93,3.8004119949768983e-13
221,0.0,3.135933168351764e-15,1.526540924975878e-19,2.735100890809196e-15,2.961626290377048e-19,2.2245624443242278e-15,3.4618327028778373e-18,1.7586443696836036e-15,2.028773043125543e+56,1.6078690522328962e-15,3.904198860523635e+75,1.554659485588831e-15,3.7310821183423515e+87,1.7265245883762309e-15,7.064624138719592e+93,3.3328413018186707e-13
222,0.0,3.1339240675261408e-15,1.526540924975878e-19,2.7330085006114722e-15,2.961626290377048e-19,2.2244502713705417e-15,3.2654857181480493e-18,1.7547105945559935e-15,3.7438838539483954e+56,1.6039870973658475e-15,8.854988332509853e+75,1.5533273262546143e-15,9.54752799391553e+87,1.708115616227922e-15,1.931128851722278e+94,2.9275168458657997e-13
223,0.0,3.1345820883702246e-15,1.526540924975878e-19,2.730610457647338e-15,2.961626290377048e-19,2.2219498021164387e-15,3.165432072976452e-18,1.7529429612655943e-15,6.909149032217634e+56,1.6049345511957638e-15,2.0083833684373736e+76,1.5551087771027706e-15,2.4431386708976962e+88,1.6963657021109322e-15,5.278885164602614e+94,2.5738014683656603e-13
224,0.0,3.1325747713545443e-15,1.526540924975878e-19,2.730239430619608e-15,2.961626290377048e-19,2.222282478903571e-15,2.9292171777750693e-18,1.7504872959015446e-15,1.2750870426180798e+57,1.5995713704503376e-15,4.555202884140487e+76,1.5555352222427435e-15,6.251817698797078e+88,1.68635197689682e-15,1.4430512548821634e+95,2.2637725571952772e-13
