,iht2,kziht2,iht3,kziht3,iht4,kziht4
0,0.3081143542400817,0.4026420318410081,0.4123492816063118,0.4535414699418382,0.48304446431007647,0.5124458276639818
1,0.1269442998148795,0.17202267971113672,0.21844708853589007,0.22624891004415276,0.28919620658275985,0.28344232348279047
2,0.0570710650441522,0.07794303121651527,0.1252990340419075,0.12022356554480251,0.1846317168900232,0.16703755219187516
3,0.02709154853516103,0.03740480922252258,0.07572108840037325,0.06847788362115965,0.1227457852420911,0.10233259572079226
4,0.013271916897687228,0.01845714582930478,0.04727684359832003,0.039594998995069866,0.0839901871561928,0.06533611412130284
5,0.006641540098769547,0.00943742496342171,0.03019145275416184,0.0235553906494589,0.058612758189630076,0.04266292189149735
6,0.003373659307855217,0.004909757653928319,0.019597728073955288,0.014304156951279868,0.04151988871218785,0.028234652016036456
7,0.0017329434037420296,0.0025675759727295895,0.01287809299992668,0.008811160729289592,0.029742199297831857,0.019007859332759114
8,0.00089791764068641,0.0013564459700215856,0.0085430383900305,0.005436944737568439,0.021494694812209177,0.012944939748745662
9,0.0004685150979751627,0.0007113733550439061,0.005709990578316734,0.0033870820075687217,0.01564422522108215,0.008854614422617485
10,0.0002458815196597337,0.0003816345202268548,0.00383966738845849,0.002129460444011054,0.01145225463533461,0.0061161485349133255
11,0.00012967660015178237,0.00020436769650392306,0.002594886788948117,0.001341689558868876,0.008424172087014632,0.004235097435139886
12,6.868161600218745e-05,0.00011076389587077085,0.0017609603616737732,0.0008573808948426149,0.006222100940720505,0.0029394570374217622
13,3.6511901991326183e-05,6.03299182409085e-05,0.0011992429433757734,0.0005504600472998496,0.004611863434340074,0.0020469875126270316
14,1.947418731255414e-05,3.2845143244891095e-05,0.0008191621191146446,0.0003531913546633835,0.003428787483170677,0.001428199853952751
15,1.041748684937699e-05,1.793695147615638e-05,0.0005609979359187559,0.00022863201848257847,0.0025560835644342136,0.0010037486202685213
16,5.587496134501852e-06,9.864484476374473e-06,0.0003850695993708727,0.00014836924854599192,0.0019100507880612648,0.0007034521394555678
17,3.004088952449994e-06,5.467426265809385e-06,0.0002648429336322452,9.495758014841625e-05,0.0014303637444556406,0.000493404089540783
18,1.6186582988552606e-06,3.037077020862272e-06,0.00018247956953033314,6.14126501884816e-05,0.0010732156363350994,0.0003493279133979676
19,8.739007828022034e-07,1.6552455726177038e-06,0.0001259327982107348,4.003153694654837e-05,0.0008066647531992891,0.00024649401623493027
20,4.7267372318376895e-07,9.105799633430426e-07,8.703568728561545e-05,2.595375289702152e-05,0.0006072929487039317,0.00017465117523804565
21,2.5608814781447206e-07,4.999896298753556e-07,6.02331283373482e-05,1.6989878079208915e-05,0.00045787629512240803,0.00012391630694335413
22,1.3895996790077293e-07,2.741968767185477e-07,4.1735641538642664e-05,1.1160659174553486e-05,0.00034569506194625724,8.799452633224771e-05
23,7.55112793663805e-08,1.5306512061903033e-07,2.8951647131713204e-05,7.257725859636355e-06,0.0002613313020939538,6.24785535017511e-05
24,4.108760773702257e-08,8.567647436334376e-08,2.0104830545054676e-05,4.7536157192434445e-06,0.0001977900472395205,4.4580410563624835e-05
25,2.2384448330035602e-08,4.809867699754246e-08,1.3975247783562364e-05,3.104742008923784e-06,0.00014986452087459792,3.167082707110023e-05
26,1.220905501484837e-08,2.6429579277254693e-08,9.72356089316677e-06,2.0326195565757525e-06,0.00011366946455399468,2.2493798797563342e-05
27,6.6663009530437284e-09,1.4833229374087507e-08,6.771357863739159e-06,1.3413746573944917e-06,8.63002582863459e-05,1.6083061358014842e-05
28,3.6435535079484014e-09,8.246134635674869e-09,4.719449006789844e-06,8.889978350714946e-07,6.558105242473324e-05,1.1478137029275355e-05
29,1.9933135587796097e-09,4.6375103739823004e-09,3.2919605648217275e-06,5.856727859882263e-07,4.9879246317366976e-05,8.210071208982242e-06
30,1.0914696170903832e-09,2.624969174484687e-09,2.298001433787925e-06,3.90111008673347e-07,3.7967799110760606e-05,5.853123842170769e-06
31,5.981506448895572e-10,1.4839363218977524e-09,1.6053304483512235e-06,2.5830261027746467e-07,2.8923156538885235e-05,4.195419658395315e-06
32,3.280589853055021e-10,8.305402187652939e-10,1.1222369168696878e-06,1.7148516269632978e-07,2.2049192833540482e-05,3.0244166289275044e-06
33,1.8005983454019334e-10,4.692233600806485e-10,7.850535216188651e-07,1.148877815702903e-07,1.6820538773741717e-05,2.1800772810745624e-06
34,9.889809569923293e-11,2.680309370141591e-10,5.495386460651559e-07,7.688806128115499e-08,1.2840202774505057e-05,1.5712272994814638e-06
35,5.4356262664717203e-11,1.5082068725204989e-10,3.8492134471169343e-07,5.143138816772062e-08,9.807862283677049e-06,1.1303742701734273e-06
36,2.989425170435246e-11,8.490912605449949e-11,2.69781282009723e-07,3.4264669458300345e-08,7.496076391811573e-06,8.156205246794349e-07
37,1.6450839838686774e-11,4.79500098833976e-11,1.8919499704357273e-07,2.2657595733758163e-08,5.732425636985031e-06,5.874763355970688e-07
38,9.058123257583562e-12,2.743399661759836e-11,1.3275718359595462e-07,1.5110735746554882e-08,4.386075045621078e-06,4.248397706842615e-07
39,4.9903818341447606e-12,1.5631806372468616e-11,9.320731813706185e-08,1.0055566334704453e-08,3.357655208641541e-06,3.072938277963699e-07
40,2.7507289033618976e-12,8.750500218051181e-12,6.547554214315533e-08,6.78267171925832e-09,2.5716297857349764e-06,2.2257991748925294e-07
41,1.516956920103303e-12,4.946267784198099e-12,4.6019216534319784e-08,4.539627788985709e-09,1.9705328206878535e-06,1.607196432217268e-07
42,8.370888626531407e-13,2.829009944134439e-12,3.236120215346146e-08,3.0806407393445386e-09,1.5106120107402557e-06,1.1577366755437982e-07
43,4.621514946542653e-13,1.631978101431185e-12,2.2768267800070233e-08,2.064971423840069e-09,1.1585317856882759e-06,8.356382619586573e-08
44,2.5522612780747225e-13,9.207271421563136e-13,1.602692322110264e-08,1.3958784213831814e-09,8.888755710965294e-07,6.066212335650177e-08
45,1.4103977461646223e-13,5.322324334426742e-13,1.1287046405702827e-08,9.406242424841872e-10,6.822518224542551e-07,4.396636360505485e-08
46,7.79663676867761e-14,3.0203883191197514e-13,7.952723264715777e-09,6.306906481096175e-10,5.238564758378027e-07,3.197640001132659e-08
47,4.315868291659172e-14,1.6901505068778345e-13,5.605991850596435e-09,4.215924185936837e-10,4.0238092494477684e-07,2.3140312293715832e-08
48,2.3973224703487088e-14,9.404833774593804e-14,3.95353806531747e-09,2.821462679120821e-10,3.0918176000161984e-07,1.6893295776816526e-08
49,1.332997343219857e-14,5.3690251632134585e-14,2.7894094191296936e-09,1.884237486011497e-10,2.3764904473617448e-07,1.223918104182005e-08
50,7.607299946219522e-15,3.0433717538690925e-14,1.9689182297022167e-09,1.268746095517522e-10,1.827252867762309e-07,8.915039616536654e-09
51,4.445371792835652e-15,1.7764283131253205e-14,1.390363883878317e-09,8.648044853042561e-11,1.4053890149755837e-07,6.433313001354463e-09
52,2.646642293060801e-15,1.0321436409118966e-14,9.822255004159453e-10,5.807666795949994e-11,1.081247253378637e-07,4.6562418296907884e-09
53,1.6605924149996184e-15,6.1345046789363486e-15,6.941805576728595e-10,3.834635003706055e-11,8.32107704651788e-08,3.3886472597407145e-09
54,1.2806548718131042e-15,3.727763428085086e-15,4.908049894551336e-10,2.61784894434952e-11,6.40554199998067e-08,2.4596519202799793e-09
55,1.1467371094974381e-15,2.4384034415827024e-15,3.471503028545804e-10,1.759403578537335e-11,4.932306065503026e-08,1.7779780766057227e-09
56,8.958811778409627e-16,1.8156936485715976e-15,2.456378178166406e-10,1.1881615459483638e-11,3.798902470873488e-08,1.287979768688233e-09
57,9.129064436779286e-16,1.3874295518985675e-15,1.7387578134255218e-10,8.014322486163756e-12,2.92668956904696e-08,9.396371213683442e-10
58,8.160581063823911e-16,1.2499657849535965e-15,1.2312505202708728e-10,5.398074142629683e-12,2.2552887125862264e-08,6.825938151010803e-10
59,9.653906074713166e-16,1.1924796139701759e-15,8.721958004757924e-11,3.618390522513496e-12,1.7383265503793918e-08,4.931682600560119e-10
60,8.857210494639094e-16,1.1436656123988334e-15,6.180723471894735e-11,2.4621296958979964e-12,1.3401741375445455e-08,3.587372155873024e-10
61,7.852288735263411e-16,1.1424541279347552e-15,4.3814778614895824e-11,1.6352269439605439e-12,1.0334484706861338e-08,2.609497035030722e-10
62,7.640287950935281e-16,1.220121584868405e-15,3.107094283431145e-11,1.1073145364830023e-12,7.970973512149366e-09,1.9060049971105263e-10
63,7.340807430161966e-16,1.1104627112840013e-15,2.2041267798935607e-11,7.406631279844871e-13,6.149307374820977e-09,1.4092691671831726e-10
64,7.628835281844878e-16,1.1545629242072603e-15,1.564112120691483e-11,5.038188845975746e-13,4.7449408466986194e-09,1.0228165403762411e-10
65,9.843605010644416e-16,1.243764476864073e-15,1.1103088167073702e-11,3.3952973699169955e-13,3.6620373747973253e-09,7.412182110874992e-11
66,9.536975484068717e-16,1.0990228233244907e-15,7.884308622342916e-12,2.2983070440817553e-13,2.826830746780459e-09,5.3851526199246945e-11
67,1.0484982848149771e-15,1.1798800162454253e-15,5.600476656088337e-12,1.5818649036119996e-13,2.1825274472448644e-09,3.914254978949947e-11
68,9.223442750807917e-16,1.0125341106912697e-15,3.979447686103342e-12,1.0917971565119549e-13,1.6853899525927986e-09,2.8443628414183015e-11
