,iht1,kziht1
0,0.8527867224167847,0.766608052178879
1,0.7365821685969409,0.5030442306785219
2,0.6429868112582915,0.35249383751480223
3,0.5664878213798321,0.258428628554703
4,0.5031896168910316,0.19156806350187985
5,0.45022756275826525,0.14495712531979246
6,0.405448657541696,0.1101815756144438
7,0.3672132513288269,0.08359552346309573
8,0.3342609838251873,0.06394889077954197
9,0.3056155429856598,0.04929422467701153
10,0.28051510098176835,0.03807814941655708
11,0.25836072059378584,0.029544698921602934
12,0.23867776935405166,0.02296979650349571
13,0.221086930920671,0.01796516759483981
14,0.20528236759948,0.014035234486472387
15,0.19101523393075642,0.011007442686570746
16,0.17808119885499507,0.008646555859604835
17,0.16631097021505717,0.0068050190769735446
18,0.15556306734118844,0.005324029068038316
19,0.14571827767865314,0.0041669915866464026
20,0.13667537691997905,0.0032620103282926067
21,0.12834779988089798,0.0025491672112549764
22,0.1206610298349629,0.001999950506047289
23,0.1135505337787287,0.0015597146089111561
24,0.10696011527500612,0.0012290064519196874
25,0.10084058908482442,0.00097198658475656
26,0.09514870577397766,0.0007672349719180954
27,0.08984627214223649,0.0006069439041118908
28,0.08489942636349207,0.00047745478478154106
29,0.08027803638866378,0.0003774321380531046
30,0.07595519736069904,0.0002984898733511692
31,0.07190680918488906,0.00023621361038969835
32,0.0681112194686636,0.0001864928640683954
33,0.06454892014123914,0.00014755006371071052
34,0.061202288437569,0.00011676774671470256
35,0.05805536476658138,9.247760529882163e-05
36,0.05509366141460169,7.319989726574327e-05
37,0.05230399715936413,5.7733838435796815e-05
38,0.04967435376060494,4.561769518675874e-05
39,0.04719375100368822,3.613678535976816e-05
40,0.04485213754340785,2.8600180704561046e-05
41,0.04264029525641361,2.2652424271168005e-05
42,0.04054975518583513,1.7880928674160977e-05
43,0.03857272346836835,1.413801767124852e-05
44,0.03670201588611825,1.1215410588625748e-05
45,0.03493099989359352,8.872886904593708e-06
46,0.03325354314283273,7.025411003195166e-06
47,0.031663967673383996,5.557586594202114e-06
48,0.030157009054060983,4.4065208432212005e-06
49,0.02872777986429044,3.490971497515938e-06
50,0.02737173698787329,2.76764631863251e-06
51,0.02608465226385113,2.1862063763528923e-06
