,iht2,kziht2,iht3,kziht3,iht4,kziht4
0,0.3238883061338337,0.4070230786589952,0.42862979270571777,0.449003734798129,0.5399917249229125,0.48882710844686644
1,0.1492940695448565,0.1940601488608495,0.2545883380723112,0.23836386971413695,0.4237486667739258,0.28363465100981927
2,0.0781368659514964,0.09906109123748276,0.17357868812666166,0.13639183756673684,0.37582504825230145,0.17853624117166614
3,0.044385749565661346,0.05261486825250729,0.12868670919422182,0.08095017345466944,0.36615157878568794,0.11732928954531505
4,0.02660791581828134,0.028607353846222688,0.10073511302767246,0.04934634500017612,0.3690389831412199,0.0791989795666639
5,0.016578657726767188,0.015964684595809263,0.08168195398355965,0.030866424106185498,0.3918239263308708,0.054524445681573816
6,0.010622667310274997,0.009036712610324727,0.06782170618056275,0.019554570318652254,0.4207530515016285,0.038236434546668994
7,0.006950657818325298,0.005162028159733661,0.057257562243044915,0.01252406172205131,0.46524143346435054,0.027080318181792008
8,0.004620693853304421,0.002980355861897375,0.04895632066558321,0.008123836036025263,0.5204395220392598,0.019346452192239974
9,0.003109656266513041,0.0017451036437342304,0.04224243742715239,0.00528793585673739,0.5888386375352166,0.013893103038880819
10,0.0021130907189534183,0.0010202273101776954,0.0367597958196904,0.0034831205298607093,0.6785276283551549,0.010062377299487715
11,0.0014470454270837205,0.0006041263167687124,0.03217218486262664,0.00230248649786582,0.7866187868549279,0.007310156688456085
12,0.000997287348455934,0.00035803826313489704,0.028345439888444197,0.0015289173684759644,0.9336264567611497,0.00535667222682164
13,0.0006909744754827386,0.0002133958198939065,0.02507118720020442,0.0010199738576286354,1.1069927655297986,0.0039274334738690145
14,0.00048094193181706776,0.0001285958368186799,0.022302553186512766,0.0006836016308743195,1.3503979875939982,0.0028842514270281134
15,0.00033607670213878693,7.729677570030519e-05,0.019894115804344407,0.00045783913191188515,1.6421459884115506,0.0021299960284762746
16,0.00023567872187043687,4.673256319638245e-05,0.01783715472560276,0.00030672883598979603,2.05650442527584,0.0015763865254902454
17,0.00016579458267597524,2.8192850694146606e-05,0.016023946810003756,0.00020750435778344898,2.5696248278950966,0.0011664561356553884
18,0.00011697098047340246,1.724846330250969e-05,0.014462808019251821,0.00014022080887528057,3.3126935061141145,0.0008645972546113195
19,8.274347224085259e-05,1.0502803559330115e-05,0.013071462142471924,9.491418398790147e-05,4.263673013228132,0.0006446279940609095
20,5.8676358205160614e-05,6.426094465358541e-06,0.01186520618171625,6.452794316581142e-05,5.643476762750203,0.0004807453929748244
21,4.170516976277482e-05,3.936781423898842e-06,0.010780141833158825,4.379222014737265e-05,7.486838080709428,0.00035861491256244276
22,2.970708729926421e-05,2.4273489622653792e-06,0.009833559046924638,2.9734726102642304e-05,10.16621904646416,0.0002680740858601257
23,2.120398198318322e-05,1.4876691574714642e-06,0.008975354365378965,2.0306974324868048e-05,13.877285031230974,0.0002010942942239245
24,1.516421420829764e-05,9.119545735340739e-07,0.008222370876721397,1.3898720429166652e-05,19.25222972236582,0.00015056961985037087
25,1.0864852119772683e-05,5.643056395376854e-07,0.0075350978975116225,9.50093239788077e-06,26.8277758436833,0.0001129010686037149
26,7.798200771730765e-06,3.4688570375632676e-07,0.006928826390463499,6.476470618568623e-06,37.80350962752756,8.449335172591782e-05
27,5.6065533997908415e-06,2.1360091103878082e-07,0.006372289856981678,4.419737897938409e-06,53.49771331991028,6.355430192793978e-05
28,4.037368646678165e-06,1.32345172721528e-07,0.005878824030556828,3.021795914592469e-06,76.31187881291659,4.7844947509124395e-05
29,2.9118646972295122e-06,8.177398411599454e-08,0.005423629673890528,2.0706663470170757e-06,109.32186336531433,3.599562377307042e-05
30,2.1032329045729165e-06,5.077626744189653e-08,0.005018045593349994,1.4173353264407252e-06,157.56799275802223,2.711457201301426e-05
31,1.5213174197622745e-06,3.1553478302052463e-08,0.0046423696350868715,9.764625390998345e-07,227.89125337285114,2.039469494310682e-05
32,1.1019042010334522e-06,1.9628241247690595e-08,0.004306077667616635,6.70313371207266e-07,330.8678583998097,1.5365545798302038e-05
33,7.991617401374555e-07,1.2254531106970614e-08,0.0039934962147531086,4.6087973243208756e-07,481.6120306060387,1.1591563568357862e-05
34,5.803222983903012e-07,7.62663535788048e-09,0.0037124468505436506,3.1745941760337327e-07,702.9056047790033,8.743817472365493e-06
35,4.2191472040743515e-07,4.7785744257602325e-09,0.003450446280510712,2.189883348654101e-07,1027.8827953512703,6.624740327149166e-06
36,3.0709955253923913e-07,2.9780819628749896e-09,0.0032138910303980187,1.506012526486995e-07,1506.0516740167543,5.007536073480012e-06
37,2.2377489154297864e-07,1.861654615121679e-09,0.0029928274386413285,1.0402561352416763e-07,2210.218388540941,3.7977333803520955e-06
38,1.6323025034061942e-07,1.1628086883830116e-09,0.0027924490611725998,7.16994071747099e-08,3249.032837767454,2.8800232941489727e-06
39,1.1918646280497767e-07,7.246059109838402e-10,0.002604810304450505,4.955506185701149e-08,4783.775861127671,2.179967399661755e-06
